0,1,5
Oct-2019,2369.29924,3740.33
Sep-2019,2041.6,3799.33
Aug-2019,2003.1,3689.31
Jul-2019,1892.76259,4035.88
Jun-2019,1713.25093,3943.79
May-2019,1833.25238,4772.62
Apr-2019,1850.44153,4821.9
Mar-2019,1901.80056,4481.05
Feb-2019,1663.73374,4636.6
Jan-2019,1715.08227,4492.53
Dec-2018,1769.32019,4616.39
Nov-2018,1499.40188,4048.29
Oct-2018,1546.22845,4442.23
Sep-2018,1357.35432,4411.64
Aug-2018,1335.78099,4079.18
Jul-2018,1273.7662,4668.23
Jun-2018,1204.91171,4299.36
May-2018,1166.20508,4533.37
Apr-2018,1095.50832,4902.84
Mar-2018,1101.538,5167.51
Feb-2018,992.45308,5576.99
Jan-2018,995.58,5503.65
,,5806.36
,,5346.35
,,5087.92
,,4987.93
,,4723.84
,,4928.8
,,4728.96566
,,4891.64875
,,4897.10132
,,4681.01559
,,5015.49
,,4957.92846
,,4970.56471
,,4478.13222
,,4745.08
,,4858.37
,,4634.8
,,4824.59
,,4622.31
,,4669.09
,,4608.3
,,4557.01
,,4848.13
,,4716.26
,,4920.01
,,4209.31
,,4401.73
,,4429.86
,,4120.29
,,4306.71
,,3848.83571
,,3797.11937
,,3524.64
,,3038.45
,,2798.61
,,3229.68
,,3631.44
,,3189.73
,,3465.52
,,3556.93299
,,3391.13869
,,3189.72
,,2796.08
,,2461.24856
,,2220.99
,,1989.12186
,,1666.79994
,,1224.74581
,,2168.23055
,,2477.97744
,,2595.25523
,,2564.67272
,,2280.75192
